Symbol;Security name;ISIN;Issuer;Fiscal / Unique Code;Shares;Face value;CAEN Code;District;Country;Exchange segment;Main Market;Tier;Status;Trading Model Type;Price steps list
MOBG;MOBEX SA TG.MURES;ROMOBGACNOR9;MOBEX SA TG.MURES;1222544;2458298;2.5000;3109;MURES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MOBT;MOBILA SA RADAUTI;ROMOBTACNOR2;MOBILA SA RADAUTI;739926;5374917;2.5000;3109;SUCEAVA;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
MODY;MOLDOVA SA VASLUI;ROMODYACNOR8;MOLDOVA SA VASLUI;824550;5292950;0.1000;4711;VASLUI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MOIB;MOARA CIBIN SA SIBIU;ROMOIBACNOR5;MOARA CIBIN SA SIBIU;785205;107102210;0.1000;1061;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MORA;MORARIT PANIFICATIE SA ROMAN;ROMORAACNOR8;MORARIT PANIFICATIE SA ROMAN;2053818;4560602;0.1000;1061;NEAMT;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MRDO;MERCUR SA CRAIOVA;ROMRDOACNOR2;MERCUR SA CRAIOVA;2297960;7260260;2.5000;4719;DOLJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MTCR;MAT SA CRAIOVA;ROMTCRACNOR3;MAT SA CRAIOVA;2315722;7874913;2.5000;2830;DOLJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
NACH;NAPOCHIM SA Cluj;RONACHACNOR2;NAPOCHIM SA Cluj;199931;900000;0.1000;2229;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
NAXY;NAVEXIM SA GALATI;RONAXYACNOR3;NAVEXIM SA GALATI;1628640;393100;0.2300;4614;GALATI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
NCHI;SCALA DEVELOPMENT S.A. CLUJ-NAPOCA;RONCHIACNOR5;SCALA DEVELOPMENT S.A. CLUJ-NAPOCA;34312520;85801140;0.1000;4110;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
NEOL;NEPTUN OLIMP SA NEPTUN;RONEOLACNOR1;NEPTUN OLIMP SA NEPTUN;2423562;73315286;0.1000;5510;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
NORD;NORD SA BUCURESTI;RONORDACNOR0;NORD SA BUCURESTI;1558154;9153266;2.5000;5510;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
NRF;NOROFERT S.A.;ROHQGW108MX2;NOROFERT;12972762;8023940;0.4000;4675;BUCURESTI;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM2
NTEX;SIFI CJ STORAGE SA;RONTEXACNOR5;SIFI CJ STORAGE SA;201896;445152;2.5000;6820;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
NUIA;ABO MIX SA;RONUIAACNOR2;ABO MIX SA;646126;1111519;3.5300;0146;SATU-MARE;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
OMAL;COMALIMENT RESITA SA;ROOMALACNOR1;COMALIMENT SA RESITA;1056760;5889925;0.1000;4711;CARAS-SEVERIN;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
OMSE;COMAT CARAS SEVERIN SA RESITA;ROOMSEACNOR8;COMAT CARAS SEVERIN SA RESITA;1060620;121947;2.5000;4672;CARAS-SEVERIN;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
ORAS;ORGANE DE ASAMBLARE SA BRASOV;ROORASACNOR5;ORGANE DE ASAMBLARE SA BRASOV;1112290;135684080;0.1000;2594;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PACY;PALACE SA SINAIA;ROPACYACNOR2;PALACE SA SINAIA;1332822;37800947;0.1000;5510;PRAHOVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PARC;PARC SA CARACAL;ROPARCACNOR6;PARC SA CARACAL;1518540;534380;2.5000;5510;OLT;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PCTM;PRIMA CONSTRUCT SA TIMISOARA;ROPCTMACNOR7;PRIMACONSTRUCT SA TIMISOARA;1812987;577727;2.5000;4120;TIMIS;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PELA;PERLA COVASNEI SA;ROPELAACNOR5;PERLA COVASNEI SA VOLUNTARI;558601;11407352;0.1000;1107;ILFOV;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
PETY;PETAL SA HUSI;ROPETYACNOR8;PETAL SA HUSI (fost ROBINETE INDUSTRIALE - UTILAJ PETROLIER);841186;1188730;2.5000;2892;VASLUI;RO;ATS;XRS1;AeRO Base;Tradeable;Continuous trading;shareM1
POBR;POIANA BRASOV SA BRASOV;ROPOBRACNOR9;POIANA BRASOV SA BRASOV;1099108;48896956;0.1000;7911;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
